Surah_ID,Surah_Name,Verse_Count,Window_Size,True_H1,Mean_Random_H1,Std_Random_H1,Z_Score
3,Ali 'Imran,200,10,0.12989526987075806,0.1235072112083435,0.00949291652929436,0.6729289826473804
3,Ali 'Imran,200,15,0.12967443466186523,0.10258765816688538,0.008607483361117538,3.1468868841894677
3,Ali 'Imran,200,20,0.10625845193862915,0.09056946098804473,0.0074089177247255505,2.1175820185215493
3,Ali 'Imran,200,25,0.11450034379959106,0.08192300498485565,0.0068829029511171536,4.733081237103283
3,Ali 'Imran,200,30,0.11105048656463623,0.07520569682121277,0.00715000014034985,5.013257208365534
3,Ali 'Imran,200,35,0.09197193384170532,0.07062961041927338,0.007885155873962494,2.706645723124669
3,Ali 'Imran,200,40,0.08410531282424927,0.06472546935081482,0.006221399651932301,3.115029504239496
3,Ali 'Imran,200,45,0.09961408376693726,0.061173056960105894,0.006336938172504057,6.0661830304147175
3,Ali 'Imran,200,50,0.07953083515167236,0.05788343906402588,0.007433216384736862,2.9122515701408322
37,As-Saffat,182,5,0.16278183460235596,0.1582251214981079,0.009131668893663422,0.4990011308239619
37,As-Saffat,182,10,0.11959171295166016,0.1144555914402008,0.008176769781211622,0.6281357612954943
37,As-Saffat,182,15,0.13406586647033691,0.09484503269195557,0.006346822609990445,6.179601383004525
37,As-Saffat,182,20,0.12752723693847656,0.0838161325454712,0.006821636764145686,6.40771502562986
37,As-Saffat,182,25,0.13421869277954102,0.07593387186527252,0.00730973563760069,7.9735880753957895
37,As-Saffat,182,30,0.11389458179473877,0.06889431834220887,0.006574674508639234,6.844485364773388
37,As-Saffat,182,35,0.11550402641296387,0.06404644191265106,0.0064823595816909255,7.938094740324491
37,As-Saffat,182,40,0.09879428148269653,0.05895487546920777,0.006386268583133397,6.2382916557420645
37,As-Saffat,182,45,0.08072751760482788,0.05716822266578674,0.006535044403823122,3.605070368804
37,As-Saffat,182,50,0.07653439044952393,0.05355039179325104,0.005629693753938945,4.08263746854642
4,An-Nisa,176,5,0.17034608125686646,0.15820655941963196,0.010467040506060303,1.1597855029036945
4,An-Nisa,176,10,0.1329227089881897,0.12036813259124755,0.007425392985422476,1.6907625524452747
4,An-Nisa,176,15,0.13247829675674438,0.10034077405929566,0.007186548549731646,4.47189947650862
4,An-Nisa,176,20,0.116050124168396,0.08959599375724793,0.008154008871592592,3.244309741102992
4,An-Nisa,176,25,0.10250687599182129,0.07956375896930695,0.006687799583135662,3.4305927887505803
4,An-Nisa,176,30,0.10356336832046509,0.07303592085838317,0.006917310201196279,4.413196253191378
4,An-Nisa,176,35,0.1013374924659729,0.06865513980388642,0.007145909226837172,4.573575121741634
4,An-Nisa,176,40,0.09841805696487427,0.06364198327064514,0.006224859502072145,5.586643952791671
4,An-Nisa,176,45,0.09760457277297974,0.058320503234863284,0.005958318968787727,6.593146446825613
4,An-Nisa,176,50,0.0860937237739563,0.056836130023002626,0.008236738565055274,3.552084786942286
6,Al-An'am,165,5,0.2177269458770752,0.1633311951160431,0.010898257017884525,4.991233980972026
6,Al-An'am,165,10,0.15201783180236816,0.1262766772508621,0.007600614468288542,3.3867201999132948
6,Al-An'am,165,15,0.11065131425857544,0.10587985575199127,0.008963720406827129,0.5323078242099157
